local_relation_key,geo_relation_id,relation_key,from_entity_key,to_entity_key,position,verified,source_file,json_pointer
claim:choice-markets-vs-common-public-system:some-voucher-lotteries-produced-worse-test-scores:dichotomy:choice-markets-vs-common-public-system,,RELATED_DICHOTOMY,claim:choice-markets-vs-common-public-system:some-voucher-lotteries-produced-worse-test-scores,dichotomy:choice-markets-vs-common-public-system,,true,content/landing-cards.json,$[?dichotomySlug=='choice-markets-vs-common-public-system'].dichotomySlug
claim:choice-markets-vs-common-public-system:some-voucher-lotteries-produced-worse-test-scores:source:src-033,,CITES_SOURCE,claim:choice-markets-vs-common-public-system:some-voucher-lotteries-produced-worse-test-scores,source:src-033,,true,content/landing-cards.json,$[?dichotomySlug=='choice-markets-vs-common-public-system'].sourceIds
claim:choice-markets-vs-common-public-system:some-voucher-lotteries-produced-worse-test-scores:source:src-034,,CITES_SOURCE,claim:choice-markets-vs-common-public-system:some-voucher-lotteries-produced-worse-test-scores,source:src-034,,true,content/landing-cards.json,$[?dichotomySlug=='choice-markets-vs-common-public-system'].sourceIds
claim:choice-markets-vs-common-public-system:some-voucher-lotteries-produced-worse-test-scores:strength:mixed-conditional,,HAS_EVIDENCE_STRENGTH,claim:choice-markets-vs-common-public-system:some-voucher-lotteries-produced-worse-test-scores,evidence_strength:mixed-conditional,,true,content/landing-cards.json,$[?dichotomySlug=='choice-markets-vs-common-public-system'].evidenceStrength
claim:human-tutoring-vs-ai-tutoring:ai-schools-are-running-ahead-of-the-evidence:dichotomy:human-tutoring-vs-ai-tutoring,,RELATED_DICHOTOMY,claim:human-tutoring-vs-ai-tutoring:ai-schools-are-running-ahead-of-the-evidence,dichotomy:human-tutoring-vs-ai-tutoring,,true,content/landing-cards.json,$[?dichotomySlug=='human-tutoring-vs-ai-tutoring'].dichotomySlug
claim:human-tutoring-vs-ai-tutoring:ai-schools-are-running-ahead-of-the-evidence:source:src-021,,CITES_SOURCE,claim:human-tutoring-vs-ai-tutoring:ai-schools-are-running-ahead-of-the-evidence,source:src-021,,true,content/landing-cards.json,$[?dichotomySlug=='human-tutoring-vs-ai-tutoring'].sourceIds
claim:human-tutoring-vs-ai-tutoring:ai-schools-are-running-ahead-of-the-evidence:source:src-050,,CITES_SOURCE,claim:human-tutoring-vs-ai-tutoring:ai-schools-are-running-ahead-of-the-evidence,source:src-050,,true,content/landing-cards.json,$[?dichotomySlug=='human-tutoring-vs-ai-tutoring'].sourceIds
claim:human-tutoring-vs-ai-tutoring:ai-schools-are-running-ahead-of-the-evidence:strength:promising-causal-quasi,,HAS_EVIDENCE_STRENGTH,claim:human-tutoring-vs-ai-tutoring:ai-schools-are-running-ahead-of-the-evidence,evidence_strength:promising-causal-quasi,,true,content/landing-cards.json,$[?dichotomySlug=='human-tutoring-vs-ai-tutoring'].evidenceStrength
claim:human-tutoring-vs-ai-tutoring:high-dosage-tutoring-is-one-of-the-clearest-k-12-bets:dichotomy:human-tutoring-vs-ai-tutoring,,RELATED_DICHOTOMY,claim:human-tutoring-vs-ai-tutoring:high-dosage-tutoring-is-one-of-the-clearest-k-12-bets,dichotomy:human-tutoring-vs-ai-tutoring,,true,content/landing-cards.json,$[?dichotomySlug=='human-tutoring-vs-ai-tutoring'].dichotomySlug
claim:human-tutoring-vs-ai-tutoring:high-dosage-tutoring-is-one-of-the-clearest-k-12-bets:source:src-021,,CITES_SOURCE,claim:human-tutoring-vs-ai-tutoring:high-dosage-tutoring-is-one-of-the-clearest-k-12-bets,source:src-021,,true,content/landing-cards.json,$[?dichotomySlug=='human-tutoring-vs-ai-tutoring'].sourceIds
claim:human-tutoring-vs-ai-tutoring:high-dosage-tutoring-is-one-of-the-clearest-k-12-bets:source:src-050,,CITES_SOURCE,claim:human-tutoring-vs-ai-tutoring:high-dosage-tutoring-is-one-of-the-clearest-k-12-bets,source:src-050,,true,content/landing-cards.json,$[?dichotomySlug=='human-tutoring-vs-ai-tutoring'].sourceIds
claim:human-tutoring-vs-ai-tutoring:high-dosage-tutoring-is-one-of-the-clearest-k-12-bets:strength:promising-causal-quasi,,HAS_EVIDENCE_STRENGTH,claim:human-tutoring-vs-ai-tutoring:high-dosage-tutoring-is-one-of-the-clearest-k-12-bets,evidence_strength:promising-causal-quasi,,true,content/landing-cards.json,$[?dichotomySlug=='human-tutoring-vs-ai-tutoring'].evidenceStrength
