local_entity_key,geo_entity_id,property_key,geo_property_id,value_type,value,source_file,json_pointer
claim:choice-markets-vs-common-public-system:some-voucher-lotteries-produced-worse-test-scores,,caveat,,TEXT,Choice effects depend on the schools available and the rules around them.,content/landing-cards.json,
claim:choice-markets-vs-common-public-system:some-voucher-lotteries-produced-worse-test-scores,,claim_text,,TEXT,Some voucher lotteries produced worse test scores.,content/landing-cards.json,
claim:choice-markets-vs-common-public-system:some-voucher-lotteries-produced-worse-test-scores,,evidence_strength_key,,TEXT,mixed-conditional,content/landing-cards.json,
claim:choice-markets-vs-common-public-system:some-voucher-lotteries-produced-worse-test-scores,,local_key,,TEXT,claim:choice-markets-vs-common-public-system:some-voucher-lotteries-produced-worse-test-scores,content/landing-cards.json,
claim:human-tutoring-vs-ai-tutoring:ai-schools-are-running-ahead-of-the-evidence,,caveat,,TEXT,K-12 generative AI evidence is still early and thin on long-run outcomes.,content/landing-cards.json,
claim:human-tutoring-vs-ai-tutoring:ai-schools-are-running-ahead-of-the-evidence,,claim_text,,TEXT,AI schools are running ahead of the evidence.,content/landing-cards.json,
claim:human-tutoring-vs-ai-tutoring:ai-schools-are-running-ahead-of-the-evidence,,evidence_strength_key,,TEXT,promising-causal-quasi,content/landing-cards.json,
claim:human-tutoring-vs-ai-tutoring:ai-schools-are-running-ahead-of-the-evidence,,local_key,,TEXT,claim:human-tutoring-vs-ai-tutoring:ai-schools-are-running-ahead-of-the-evidence,content/landing-cards.json,
claim:human-tutoring-vs-ai-tutoring:high-dosage-tutoring-is-one-of-the-clearest-k-12-bets,,caveat,,TEXT,"The dosage, attendance, tutor quality, and school-day integration matter.",content/landing-cards.json,
claim:human-tutoring-vs-ai-tutoring:high-dosage-tutoring-is-one-of-the-clearest-k-12-bets,,claim_text,,TEXT,High-dosage tutoring is one of the clearest K-12 bets.,content/landing-cards.json,
claim:human-tutoring-vs-ai-tutoring:high-dosage-tutoring-is-one-of-the-clearest-k-12-bets,,evidence_strength_key,,TEXT,promising-causal-quasi,content/landing-cards.json,
claim:human-tutoring-vs-ai-tutoring:high-dosage-tutoring-is-one-of-the-clearest-k-12-bets,,local_key,,TEXT,claim:human-tutoring-vs-ai-tutoring:high-dosage-tutoring-is-one-of-the-clearest-k-12-bets,content/landing-cards.json,
claim:more-money-resources-vs-money-does-not-matter:money-can-matter-the-question-is-what-it-buys,,caveat,,TEXT,Sustained targeted dollars are different from undifferentiated spending.,content/landing-cards.json,
claim:more-money-resources-vs-money-does-not-matter:money-can-matter-the-question-is-what-it-buys,,claim_text,,TEXT,Money can matter. The question is what it buys.,content/landing-cards.json,
claim:more-money-resources-vs-money-does-not-matter:money-can-matter-the-question-is-what-it-buys,,evidence_strength_key,,TEXT,promising-causal-quasi,content/landing-cards.json,
claim:more-money-resources-vs-money-does-not-matter:money-can-matter-the-question-is-what-it-buys,,local_key,,TEXT,claim:more-money-resources-vs-money-does-not-matter:money-can-matter-the-question-is-what-it-buys,content/landing-cards.json,
claim:small-schools-personalization-vs-comprehensive-breadth:the-gates-backed-small-schools-story-is-different,,caveat,,TEXT,"The positive case is about design, admissions context, and personalization.",content/landing-cards.json,
claim:small-schools-personalization-vs-comprehensive-breadth:the-gates-backed-small-schools-story-is-different,,claim_text,,TEXT,The Gates-backed small-schools story is different.,content/landing-cards.json,
claim:small-schools-personalization-vs-comprehensive-breadth:the-gates-backed-small-schools-story-is-different,,evidence_strength_key,,TEXT,promising-causal-quasi,content/landing-cards.json,
claim:small-schools-personalization-vs-comprehensive-breadth:the-gates-backed-small-schools-story-is-different,,local_key,,TEXT,claim:small-schools-personalization-vs-comprehensive-breadth:the-gates-backed-small-schools-story-is-different,content/landing-cards.json,
claim:teacher-incentives-evaluation-vs-trust-professionalism:teacher-coaching-beats-generic-professional-development-but-scaling-weakens-effe,,caveat,,TEXT,Large programs often produce smaller effects than tightly run trials.,content/landing-cards.json,
claim:teacher-incentives-evaluation-vs-trust-professionalism:teacher-coaching-beats-generic-professional-development-but-scaling-weakens-effe,,claim_text,,TEXT,"Teacher coaching beats generic professional development, but scaling weakens effects.",content/landing-cards.json,
claim:teacher-incentives-evaluation-vs-trust-professionalism:teacher-coaching-beats-generic-professional-development-but-scaling-weakens-effe,,evidence_strength_key,,TEXT,mixed-conditional,content/landing-cards.json,
claim:teacher-incentives-evaluation-vs-trust-professionalism:teacher-coaching-beats-generic-professional-development-but-scaling-weakens-effe,,local_key,,TEXT,claim:teacher-incentives-evaluation-vs-trust-professionalism:teacher-coaching-beats-generic-professional-development-but-scaling-weakens-effe,content/landing-cards.json,
claim:teacher-incentives-evaluation-vs-trust-professionalism:the-gates-teacher-effectiveness-bet-did-not-deliver-the-hoped-for-student-gains,,caveat,,TEXT,Measurement systems are not the same thing as instructional improvement.,content/landing-cards.json,
claim:teacher-incentives-evaluation-vs-trust-professionalism:the-gates-teacher-effectiveness-bet-did-not-deliver-the-hoped-for-student-gains,,claim_text,,TEXT,The Gates teacher-effectiveness bet did not deliver the hoped-for student gains.,content/landing-cards.json,
